id,question,reference,expected_route,expected_document,category,difficulty
1,"How can Model-Based Systems Engineering be used to analyse Standard Operating Procedures?","SOPs can be modelled using LML/SysML Action or Activity Diagrams in an MBSE tool. The diagrams represent operator actions, actors, cues, automation interactions and system behaviour, and can be simulated to evaluate SOP performance, including the distributions of Allowable Operational Time Window, Time on Procedure and Procedure Buffer Time, and the Probability of Failure to Complete.","internal","analyzing-sop-using-mbse-2021.docx","mbse_sop","medium"
2,"What are Time on Procedure, Allowable Operational Time Window, Procedure Buffer Time and Probability of Failure to Complete in SOP analysis?","Time on Procedure is the time required to complete the SOP, while the Allowable Operational Time Window is the time available to complete it safely. Procedure Buffer Time is the difference between AOTW and ToP. When PBT is below zero, ToP has exceeded AOTW, and the probability of this occurring is the Probability of Failure to Complete, which is used as a measure of SOP reliability.","internal","analyzing-sop-using-mbse-2021.docx","mbse_sop","medium"
3,"What factors can affect the performance and reliability of a Standard Operating Procedure?","SOP performance is affected by the saliency of the cues that trigger operator decisions and actions. Important factors include whether a cue is in the operator's field of view, whether it is obscured by clutter or background noise, whether its meaning clearly matches the required action, whether data manipulation is required, and whether the operator must rely on long-term or working memory. Less salient, ambiguous, infrequent or memory-dependent cues can increase the Probability of Failure to Complete.","internal","analyzing-sop-using-mbse-2021.docx","mbse_sop","medium"
4,"What are the objectives of the process automation system?","The objectives of a process automation system are to control, optimize, automate and supervise the production process; provide production information to operators and plant engineers; support production planning and control, material tracking and data collection; generate reports; and supply information to the Management Information System.","internal","automation-engineering-standard.docx","automation_engineering","easy"
5,"What levels make up the process automation system architecture and what is the role of each level?","The process automation system shall be hierarchical. Level 0 is Field Equipment consisting of individual devices such as sensors, transducers, actuators and push buttons. Level 1 is the Basic Automation System using PLCs and intelligent controllers. Level 2 is responsible for process optimization and supervision. Level 3 is responsible for production planning, material tracking and reporting. Level 4 is the Management Information System. The different automation levels shall be connected with fault tolerant networks to ensure high availability of the overall process automation system.","internal","automation-engineering-standard.docx","automation_architecture","medium"
6,"What are the main requirements for material management and tracking in the process automation system?","A fault-tolerant, auto recovering system shall be provided for tracking product throughout the scope of installation. Tracking must be unaffected by the failure of a single instrument in each area, and if a sensor is critical for the tracking system, a redundant sensor should be used. Anomalies in tracking shall be alarmed. The tracking system must control both normal and abnormal routing of material, and where necessary communication paths across project boundaries must be established to handle movement of product from one area to another.","internal","automation-engineering-standard.docx","material_tracking","medium"
7,"What should the diagnostic process for occupational diseases include?","The diagnostic process should include taking a detailed occupational history and medical history, conducting clinical examinations for specific symptoms and signs of occupational diseases, and conducting relevant investigations, including review of safety data sheets (SDS) and workplace evaluation to document exposure and exclude non-occupational causes.","internal","occupational-diseases-guidelines-2025.pdf","occupational_disease_diagnosis","easy"
8,"What are the reporting requirements for occupational diseases in Singapore?","All registered medical practitioners are required to report any of the occupational diseases listed in the Second Schedule of the Workplace Safety and Health Act within 10 days from the diagnosis of the disease under the WSH (Incident Reporting) Regulations. All notifications should be made via the electronic notification system at www.mom.gov.sg/ireport.","internal","occupational-diseases-guidelines-2025.pdf","occupational_disease_reporting","medium"
9,"What are the general diagnostic criteria for determining whether a cancer is occupational?","The general diagnostic criteria for occupational cancers are a confirmed clinical and histological diagnosis of cancer of primary origin, occupational exposure to a confirmed human carcinogen, cumulative occupational exposure to the agent sufficient to cause the particular cancer, an appropriate latency period for the particular cancer, and a probability that the cancer is work-related of 'more likely than not' (>50%) after comparing the risk from work with the relevant non-work risks.","internal","occupational-diseases-guidelines-2025.pdf","occupational_cancer","hard"
10,"What does the GUIDE process stand for in Design for Safety reviews?","GUIDE stands for: Group together a DfS review team consisting of main stakeholders; Understand the full design concept by looking at drawings and calculations, or have designers elaborate on the design; Identify risks that arise as a result of the design or construction method and evaluate them using existing risk assessment methodology; Design around the risks identified to eliminate or mitigate the risks; and Enter into the DfS Register all information including residual risks to be mitigated and information on vital design changes that would affect the safety and health of affected persons.","internal","design-for-safety-guidelines-2026.pdf","dfs_guide_process","medium"
11,"What is the Developer's duty when dealing with foreseeable design risks under Design for Safety?","It is the Developer's duty to ensure that foreseeable design risks in the project are eliminated. If it is not reasonably practicable to eliminate the design risks, the Developer has to work with the other stakeholders to ensure that the design risks are reduced to as low as reasonably practicable. When reducing a design risk, it must be reduced at its source and collective protective measures must be used as far as reasonably practicable instead of individual protective measures.","internal","design-for-safety-guidelines-2026.pdf","dfs_stakeholder_duties","medium"
12,"What are the two key purposes of the Design for Safety Register?","The DfS Register serves two key purposes: it is a record and evidence that the DfS review process has been properly undertaken, and it contains vital information which needs to be communicated to affected persons so that they are aware of identified risks that they ought to address, why certain decisions were made with respect to the design or design modifications, and the control measures available to implement.","internal","design-for-safety-guidelines-2026.pdf","dfs_register","medium"
13,"What are the five elements required for a combustible dust explosion to occur?","The five elements required for a combustible dust explosion are fuel in the form of combustible dust, oxygen, an ignition source, dispersion of the combustible dust in air, and confinement. A flash fire can occur when fuel, oxygen, ignition and dispersion are present, while a combustible dust explosion can occur when both dispersion and confinement are present in addition to the fire triangle elements.","internal","combustible-dust-guidelines-2025.pdf","combustible_dust_explosion","medium"
14,"What is a Dust Hazard Analysis and what should it evaluate where a combustible dust hazard exists?","A Dust Hazard Analysis is a systematic way to identify and evaluate the potential for fire, flash fire or explosion due to the presence of particulate solids in a process or facility, and documents the controls required to manage the risk. Where a combustible dust hazard exists, the evaluation includes safe operating ranges for process equipment, the likelihood and potential consequences of fire, flash fire and/or explosion, normal and non-routine dust accumulation rates, and safeguards in place to manage fire and explosion events together with recommendations for additional safeguards.","internal","combustible-dust-guidelines-2025.pdf","dust_hazard_analysis","hard"
15,"How should combustible dust hazards be controlled using the Hierarchy of Control?","Hazard control and risk reduction can be achieved through the Hierarchy of Control. Upstream risk controls such as elimination, substitution and engineering controls are more effective and should first be considered. Examples include removing the use of combustible dust, replacing powdered material with pellets, paste or slurry, and using local exhaust ventilation to prevent dust accumulation. Administrative controls such as regular cleaning and safe work procedures can also be applied, while PPE may include fire-retardant clothing, static dissipative safety shoes and dust respirators. Various controls may be applied in combination for improved risk control.","internal","combustible-dust-guidelines-2025.pdf","combustible_dust_control","medium"
16,"What are the six common hazards identified in the food and beverage manufacturing industry?","The six common hazards are slips, trips and falls; caught in machine; struck by falling object; contact with hot objects or surfaces; musculoskeletal disorder; and fires and explosions.","internal","common-hazards-food-beverage-manufacturing.pdf","food_manufacturing_hazards","easy"
17,"What safety measures should be taken to prevent workers from being caught in machines?","Allow only trained, competent and authorised personnel to operate the machine; install warning signs to alert machine operators to the presence of hazards; ensure machine guarding is in place before operating the machine; turn off the main power switch before carrying out repair, maintenance and inspection; and apply the Lockout Tagout (LOTO) procedure.","internal","common-hazards-food-beverage-manufacturing.pdf","machine_safety","medium"
18,"What measures are recommended to prevent fires and explosions in food and beverage manufacturing?","Keep the work area free of ignition sources or flammable materials wherever possible; ensure the workplace is well-ventilated when handling finely divided materials; periodically maintain the local exhaust ventilation system to prevent accumulation of flammable materials; ensure proper electrical bonding and grounding when transferring materials from one tank or container to another; and ensure fire-fighting equipment, alarms and detectors are checked and tested periodically.","internal","common-hazards-food-beverage-manufacturing.pdf","fire_explosion_safety","hard"
19,"What are the main roles and responsibilities of a COMAH Intervention Manager?","In addition to existing regulatory duties, the COMAH Intervention Manager leads the development of the COMAH Intervention Plan, coordinates and maintains oversight of the Competent Authority's COMAH intervention activity, acts as a single point of contact for COMAH Operators, ensures that activities in the plan reflect the establishment's risk profile and performance in controlling major hazard risks, coordinates COMAH inspection work, communicates changes to priorities or timescales, informs relevant CA partners of incidents or significant events, and wherever possible resolves disputes between the COMAH Operator and CA partners.","internal","user-manual.docx","comah_intervention_manager","hard"
20,"What is the purpose of the COMAH Intervention Plan and what types of interventions may it include?","The COMAH Intervention Plan sets out what the Competent Authority will inspect at each establishment over a two-year rolling period. Its main purpose is to inform operators how the CA will examine and test the arrangements for controlling major accident risks and when the CA intends to do this. Interventions may include Safety Report assessment, inspections on identified topics, inspections aimed at rating the operator's performance against key strategic national topics, ongoing investigation actions, and work to follow up and close out issues of non-compliance identified from previous interventions.","internal","user-manual.docx","comah_intervention_plan","medium"
21,"How does the COMAH challenge mechanism progress through Stages 1, 2 and 3 if an issue cannot be resolved informally?","If an issue cannot be resolved during the clarification phase, the COMAH Operator can formally enter Stage 1 by putting the challenge in writing via the Intervention Manager to the CA Inspector's Line Manager, who reviews the regulatory decision, including the legal basis, standards for compliance and evidence of non-compliance. At Stage 2, the challenge is reviewed by a CA Area or Operational Manager from a different region. At Stage 3, the HSE's Independent Regulatory Challenge Panel considers the challenge and gives recommendations to the Competent Authority, although the CA is not obliged to amend its regulatory decision following those recommendations.","internal","user-manual.docx","comah_challenge_mechanism","hard"
